File,PC1,PC2
A01365726\0.jpg,0.31757716402897257,-0.15177478685374238
A01365726\1.jpg,0.35505344071238837,-0.12074422705401672
A01365726\2.jpg,0.33841268247728923,-0.11246891149566947
A01365726\3.jpg,0.3697054888377007,-0.1214058144814975
A01366475\IMG_0799.jpg,0.22626589497939456,-0.03406223951608779
A01366475\IMG_0800.jpg,0.24086355629370834,-0.04086620690441837
A01366475\IMG_0801.jpg,0.2225351636066305,0.009991657315950123
A01366475\IMG_0802.jpg,0.21908297904581997,-0.06808330447263264
A01366686\selfie_1.jpg,-0.12985400988192858,-0.15648128027440372
A01366686\Selfie_2.jpg,-0.19029874650317077,-0.16880919702215572
A01366686\selfie_3.jpg,-0.1796171880619057,-0.11616919590470812
A01366686\selfie_4.jpg,-0.277676782779845,-0.14472649417011293
A01366906\01.jpg,0.10247619495918923,0.08774976526901533
A01366906\02.jpg,0.1812781133071794,0.08616691811674167
A01366906\03.jpg,0.1503556215141781,0.1198479353768172
A01366906\04.jpg,0.19470506222872774,0.153414861722565
A01366907\01.jpg,-0.018660083705681032,0.08325322065763362
A01366907\02.jpg,-0.007202300859351524,0.07996836569160388
A01366907\03.jpg,0.04707475037234883,0.10552659935882884
A01366907\04.jpg,-0.0037691727258330854,0.06965558120400758
A01366969\0250438F-5529-423A-AFF7-A25870F1B586.jpg,0.25378558917164196,-0.07151805303709616
A01366969\1A18C90A-AEC4-41AF-809E-953C46B961E3.jpg,0.24566513468210321,-0.1560959782382019
A01366969\62670777-02AF-4F1D-BD29-C0D2DCD51E52.jpg,0.3429175073980911,-0.05743278571066211
A01366969\DBF12727-6C39-47CA-A7CD-00C4909362AF.jpg,0.24606796449023716,-0.13047327725565422
A01367102\retrato1.jpg,0.034962113899830255,-0.2732936425324878
A01367213\IMG_20170513_210447.jpg,-0.29835710503336155,-0.11099412678238978
A01367213\IMG_20190226_140600295.jpg,-0.2561881785836873,-0.19128514303028915
A01367213\IMG_20190818_131100.jpg,-0.3046926876153875,-0.24814408742261038
A01367213\IMG_20201027_141955.jpg,-0.3175941475656363,-0.18523796793043348
A01367213\IMG_20210425_222512.jpg,-0.35110145751993005,-0.2529966649261663
A01367213\IMG_20211007_143634.jpg,-0.3122014823107512,-0.18439932099804776
A01367213\IMG_20220513_101901.jpg,-0.31205281124130274,-0.22232676185409397
A01369421\IMG_20230330_160117.jpg,0.26270991664142584,0.03263202884452458
A01369421\IMG_20230330_160125.jpg,0.2857329941723329,0.08131359523376751
A01369421\IMG_20230330_160131.jpg,0.12434808451367403,0.06432151505888867
A01369421\IMG_20230330_160205.jpg,0.22186095430795802,-0.04007482938939039
A01369422\jordi_1.jpg,-0.08346453778080402,0.2698560055885313
A01369422\jordi_2.jpg,-0.015380620861585674,0.2474765560777648
A01369422\Jordi_3.jpg,-0.03253066776335661,0.21465836149082057
A01369422\Jordi_4.jpg,0.00415774926296368,0.25245293271795677
A01769046\A01769046_000.jpg,-0.16948286594820539,-0.004767005241018506
A01769046\A01769046_001.jpg,-0.27309935278237363,-0.10757015426121143
A01769046\A01769046_003.jpg,-0.2221362774344482,-0.07523242471051092
A01769046\A01769046_004.jpg,-0.1589451759658619,-0.0568350551658591
L03618495\20230417_163527.jpg,-0.20336828651222413,0.3257865197024119
L03618495\20230417_163528.jpg,-0.2196931814105277,0.328134317407573
L03618495\20230417_163531.jpg,-0.21029593057598922,0.32236327792832603
L03618495\20230417_163533.jpg,-0.2180117107719379,0.35175016721794067
L03618495\20230417_163537.jpg,-0.2219193587086999,0.31794875465389955
