File,PC1,PC2
A01365726\0.jpg,0.3387089622157197,-0.16111208609551617
A01365726\1.jpg,0.3745369255001347,-0.13000164303513756
A01365726\2.jpg,0.3424976263632171,-0.11845389770540367
A01365726\3.jpg,0.38580272450053543,-0.1321737127794098
A01366686\selfie_1.jpg,-0.12639645901498,-0.14932960317120755
A01366686\Selfie_2.jpg,-0.1794542667090116,-0.1649265978272026
A01366686\selfie_3.jpg,-0.17421477689025047,-0.1078128389164263
A01366686\selfie_4.jpg,-0.26519500003335067,-0.13999592694005353
A01366906\01.jpg,0.14797761958135527,0.07176690344208167
A01366906\02.jpg,0.1910545395985454,0.08150358421125946
A01366906\03.jpg,0.17296862088471335,0.11265560172216557
A01366906\04.jpg,0.2254565956303167,0.14062506997714305
A01366907\01.jpg,-0.0030735637276159914,0.08524179623234773
A01366907\02.jpg,0.0019170598092754158,0.08323659936576291
A01366907\03.jpg,0.053294740009848914,0.10892255484611384
A01366907\04.jpg,0.008462765226720495,0.07092979776020131
A01366969\0250438F-5529-423A-AFF7-A25870F1B586.jpg,0.2862314254775112,-0.08223595101533956
A01366969\1A18C90A-AEC4-41AF-809E-953C46B961E3.jpg,0.2742730056324285,-0.16405793127532753
A01366969\62670777-02AF-4F1D-BD29-C0D2DCD51E52.jpg,0.3626242269833321,-0.06513666554566744
A01366969\DBF12727-6C39-47CA-A7CD-00C4909362AF.jpg,0.26906658872359956,-0.13569733601874684
A01367102\retrato1.jpg,0.0525191110992609,-0.27524288183460693
A01367213\IMG_20170513_210447.jpg,-0.26468934903261215,-0.1160968947016232
A01367213\IMG_20190226_140600295.jpg,-0.24126105721248203,-0.19230867173653726
A01367213\IMG_20190818_131100.jpg,-0.2867084226092414,-0.25034721401421584
A01367213\IMG_20201027_141955.jpg,-0.2751451716847222,-0.19544955752992552
A01367213\IMG_20210425_222512.jpg,-0.3252695715052386,-0.25681720921403745
A01367213\IMG_20211007_143634.jpg,-0.2903679147947805,-0.18684902587022056
A01367213\IMG_20220513_101901.jpg,-0.29876884281421273,-0.22234862915340267
A01369421\IMG_20230330_160117.jpg,0.2847021397861268,0.026726594696974856
A01369421\IMG_20230330_160125.jpg,0.30538007750147106,0.07479488966872677
A01369421\IMG_20230330_160131.jpg,0.1625105266628372,0.056384152167181255
A01369421\IMG_20230330_160205.jpg,0.2527594190937809,-0.04881444051696464
A01369422\jordi_1.jpg,-0.031458124766956516,0.24943477627049965
A01369422\jordi_2.jpg,0.04337577464373105,0.22358481788782028
A01369422\Jordi_3.jpg,0.020667692477864184,0.19294741444217914
A01369422\Jordi_4.jpg,0.06666290879627106,0.22731136564377813
A01769046\A01769046_000.jpg,-0.1692925463263543,0.002120158060534407
A01769046\A01769046_001.jpg,-0.27309105568047604,-0.09841806432865322
A01769046\A01769046_003.jpg,-0.219572093581089,-0.07019345378600685
A01769046\A01769046_004.jpg,-0.15805625849664148,-0.04748382737275533
L03618495\20230417_163527.jpg,-0.19603036773559748,0.3366630470929548
L03618495\20230417_163528.jpg,-0.2130763463345824,0.33949832312881634
L03618495\20230417_163531.jpg,-0.20465893096669685,0.3336964796243344
L03618495\20230417_163533.jpg,-0.2091342570193892,0.3625940411415368
L03618495\20230417_163537.jpg,-0.218536699262315,0.3306660930019764
