File,PC1,PC2
A01365726\0.jpg,1.3083624993291993,0.31603841337589605
A01365726\1.jpg,1.3257366132492328,0.35279016687650233
A01365726\2.jpg,1.3178026226942858,0.336516686242532
A01365726\3.jpg,1.2893700769829164,0.36882863515748326
A01366475\IMG_0799.jpg,1.2657015327101457,0.22759514450680823
A01366475\IMG_0800.jpg,1.2915084190751263,0.24082017721258114
A01366475\IMG_0801.jpg,1.2798722276198864,0.22314323774627626
A01366475\IMG_0802.jpg,1.2745762654341508,0.22021880099120852
A01366686\selfie_1.jpg,1.2934202628281128,-0.1302507321806801
A01366686\Selfie_2.jpg,1.29802119497422,-0.19109625136010366
A01366686\selfie_3.jpg,1.2775393007823748,-0.17930795281984702
A01366686\selfie_4.jpg,1.2704595331811364,-0.27751303209534306
A01366906\01.jpg,1.3998584724477883,0.09492118558464449
A01366906\02.jpg,1.363328108671349,0.1760567692448911
A01366906\03.jpg,1.364741636882472,0.14488125863084445
A01366906\04.jpg,1.4226720818170038,0.18644741624228672
A01366907\01.jpg,1.2334554188827167,-0.01665662091304821
A01366907\02.jpg,1.2648587755652354,-0.006423348143516025
A01366907\03.jpg,1.254425008511712,0.048149087298940844
A01366907\04.jpg,1.2838188344962072,-0.004136073953239209
A01366969\01.jpg,1.3166975714166511,0.24395790203827283
A01366969\02.jpg,1.3071494420779488,0.25209727281644845
A01366969\03.jpg,1.2968678833055334,0.3419660030394759
A01366969\04.jpg,1.2654938808001377,0.24671859908748556
A01367102\retrato1.jpg,1.298286508390077,0.03395513609822077
A01367213\01.jpg,1.309789315139017,-0.30104687410103664
A01367213\02.jpg,1.2795792117357405,-0.25685238338684885
A01367213\03.jpg,1.2873042189797719,-0.3059231667085143
A01367213\04.jpg,1.2915909010260216,-0.31951027955876427
A01367213\05.jpg,1.281017362574431,-0.3521581644590592
A01367213\06.jpg,1.2855541966043986,-0.3135642112530974
A01367213\07.jpg,1.2882250090413212,-0.3132448368525409
A01369421\01.jpg,1.2894082278765988,0.2620795571009405
A01369421\02.jpg,1.3504367152681997,0.2822429293976732
A01369421\04.jpg,1.311291093250289,0.12231608587013414
A01369421\05.jpg,1.3172200298672487,0.21995746796111945
A01369422\jordi_1.jpg,1.331274837526585,-0.0881654021136559
A01369422\jordi_2.jpg,1.3219122973588457,-0.019655246366020996
A01369422\Jordi_3.jpg,1.3565799527521512,-0.03843823792643891
A01369422\Jordi_4.jpg,1.3142087350454597,5.153232589935848e-05
A01769046\01.jpg,1.306927259033839,-0.17116673907644087
A01769046\02.jpg,1.2841084223264414,-0.2737235449023034
A01769046\03.jpg,1.29475836671385,-0.22359712985197372
A01769046\04.jpg,1.3406065638893774,-0.1618242469939122
L03618495\01.jpg,1.2881162755281805,-0.20459867255507636
L03618495\02.jpg,1.2840492533276202,-0.22076291297455794
L03618495\03.jpg,1.2909272190300278,-0.21162786956969606
L03618495\04.jpg,1.2788185138810413,-0.21891040911242432
L03618495\05.jpg,1.2796179260681133,-0.22273676225310618
